time (s),X (pixels),Y (pixels),R (pixels),Theta (°)
124.909621300001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.943183700001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
124.976601199989,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.009758899992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.044669399998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.078453499998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.111948099991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.145220099992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.178522499991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.2119102,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.245095599996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.276925400001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.31000089999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.34316769999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.377776399997,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.412234599993,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.445401199991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.478749599992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.512183300001,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.545429699996,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.578872099999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.6119626,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.6444013,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.67728009999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.710867899994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.745857899994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.778893999988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.812371199994,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.84573239999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.87910179999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.912452299992,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.94575839999,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
125.979129399988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.012373999998,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.045690499988,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
126.077626899991,-246.331508237027,94.4474411167425,263.817230452882,159.022377157543
